Ty Dolla $ign	Entergalactic
André 3000	Battle in Seattle
André 3000	Four Brothers
André 3000	High Life
André 3000	Revolver
André 3000	Semi-Pro
Odessa A'zion	Hellraiser
Aadhi	Rangasthalam
Hanne Aagesen	Ordet
Antonio Aakeel	Badla
Antonio Aakeel	I Came By
Aaliyah	Queen of the Damned
Aaliyah	Romeo Must Die
Caroline Aaron	Surveillance
Lexi Aaron	Please Stand By
Nicholas Aaron	Touching the Void
Quinton Aaron	The Blind Side
Bonnie Aarons	I Know Who Killed Me
Bonnie Aarons	The Nun
Kartik Aaryan	Bhool Bhulaiyaa 2
Kartik Aaryan	Dhamaka
Kartik Aaryan	Freddy
Kartik Aaryan	Love Aaj Kal
Kartik Aaryan	Luka Chuppi
Kartik Aaryan	Pyaar Ka Punchnama
Kartik Aaryan	Pyaar Ka Punchnama 2
Kartik Aaryan	Satyaprem Ki Katha
Kartik Aaryan	Shehzada
Kartik Aaryan	Sonu Ke Titu Ki Sweety
Aicha Abadir	Pierrot le fou
Nati Abascal	Bananas
Diego Abatantuono	Mediterraneo
Hamza Ali Abbasi	Waar
Rizz Abbasi	Domino
Shamoon Abbasi	Waar
Hiam Abbass	The Nativity Story
Hiam Abbass	The Visitor
Faiza Mouha Abbazi	Song One
Micah Abbey	Teenage Mutant Ninja Turtles: Mutant Mayhem
Bruce Abbott	Bride of Re-Animator
Bruce Abbott	Re-Animator
Bud Abbott	Bud Abbott and Lou Costello Meet Frankenstein
Christopher Abbott	Black Bear
Christopher Abbott	It Comes at Night
Christopher Abbott	Martha Marcy May Marlene
Christopher Abbott	Possessor
Christopher Abbott	Sweet Virginia
Christopher Abbott	The World to Come
Diahnne Abbott	The King of Comedy
Kelsy Abbott	V/H/S/2
Michael Abbott Jr.	Shotgun Stories
Michael Abbott Jr.	The Dark and the Wicked
Ursula Abbott	Chapter 27
Diamand Abou Abboud	L'insulte
Dino Abbrescia	Io non ho paura
Salvatore Abbruzzese	Gomorra
Khalid Abdalla	The Kite Runner
Barkhad Abdi	Captain Phillips
Barkhad Abdi	Eye in the Sky
Barkhad Abdirahman	Captain Phillips
Kareem Abdul-Jabbar	Airplane!
Omar Abdulaziz	The Dissident
Bruna Abdullah	Billa 2
Farah Zeynep Abdullah	Bi Küçük Eylül Meselesi
Farah Zeynep Abdullah	Bizim Için Sampiyon
Farah Zeynep Abdullah	Kelebegin Rüyasi
Farah Zeynep Abdullah	Unutursam Fisilda
Melina Abdullah	13th
Reem Abdullah	Wadjda
Rakan Abdulwahed	321 Action
Haruka Abe	Snake Eyes: G.I. Joe Origins
Hiroshi Abe	Aruitemo aruitemo
Hiroshi Abe	Chocolate
Hiroshi Abe	Survive Style 5+
Hiroshi Abe	Umi yori mo mada fukaku
Huma Abedin	Weiner
Alfred Abel	Metropolis
Jake Abel	The Host
Walter Abel	Fury
Marisa Abela	Rogue Agent
Michael Abela	Alex Strangelove
Alistair Abell	Sausage Party
Ian Abercrombie	Army of Darkness
Ian Abercrombie	Inland Empire
Karen Abercrombie	War Room
Betty Aberlin	Jersey Girl
Donzaleigh Abernathy	Gods and Generals
Kent Abernathy	Minding the Gap
Rajesh Abhay	Paan Singh Tomar
Abhinaya	7aum Arivu
Ary Abittan	Qu'est-ce qu'on a fait au bon Dieu?
Simon Abkarian	Ararat
Raymond Ablack	Love in the Villa
Whitney Able	All the Boys Love Mandy Lane
Whitney Able	Monsters
Amir AboulEla	Barb Wire
Abra	Assassination Nation
F. Murray Abraham	Amadeus
F. Murray Abraham	Finding Forrester
F. Murray Abraham	How to Train Your Dragon: The Hidden World
F. Murray Abraham	Last Action Hero
F. Murray Abraham	The Grand Budapest Hotel
John Abraham	Attack
John Abraham	Batla House
John Abraham	Desi Boyz
John Abraham	Dhoom
John Abraham	Dostana
John Abraham	Ek Villain Returns
John Abraham	Garam Masala
John Abraham	Housefull 2
John Abraham	Madras Cafe
John Abraham	New York
John Abraham	Parmanu: The Story of Pokhran
John Abraham	Pathaan
John Abraham	Race 2
John Abraham	Satyameva Jayate 2
John Abraham	Taxi No. 9 2 11: Nau Do Gyarah
John Abraham	Water
John Abraham	Wazir
Jon Abrahams	Prime
Jon Abrahams	Scary Movie
Aaron Abrams	Take This Waltz
Aaron Abrams	Young People Fucking
Austin Abrams	Brad's Status
Austin Abrams	Chemical Hearts
Austin Abrams	Do Revenge
Austin Abrams	Paper Towns
Austin Abrams	Scary Stories to Tell in the Dark
Gore Abrams	Hell House LLC
J.J. Abrams	The Greatest Movie Ever Sold
Roy Abramsohn	Escape from Tomorrow
Andrei Abrikosov	Aleksandr Nevskiy
Victoria Abril	Kika
Victoria Abril	Tacones lejanos
Victoria Abril	Átame!
Jonas Abry	Running on Empty
Joe Absolom	I Spit on Your Grave 2
Hamza Abu-Aiaash	Paradise Now
Dania Abu-Rmaileh	Super Size Me
Orion Acaba	Berserk: Ougon jidai-hen II - Dorudorei koryaku
Numan Acar	Aus dem Nichts
Numan Acar	Kokowääh
Frank Acciarito	Bad Lieutenant
Kirk Acevedo	Insidious: The Last Key
Kirk Acevedo	The Thin Red Line
Moisés Acevedo	Remember Me
Ashutosh Acharya	Manjhi: The Mountain Man
Salil Acharya	Aashiqui 2
James Acheson	Kazaam
Amy Acker	Much Ado About Nothing
Antony Acker	Scary Movie 2
Sharon Acker	Happy Birthday to Me
Ed Ackerman	Frozen
Naomi Ackie	Lady Macbeth
Naomi Ackie	Whitney Houston: I Wanna Dance with Somebody
Joss Ackland	Bill & Ted's Bogus Journey
Joss Ackland	The Mighty Ducks
Jensen Ackles	Batman: The Long Halloween, Part One
Jensen Ackles	Batman: The Long Halloween, Part Two
Jensen Ackles	My Bloody Valentine
Jensen Ackles	Ten Inch Hero
Carlos Acosta	Our Kind of Traitor
José Acosta	Pájaros de verano
Juana Acosta	Perfectos desconocidos
Pauline Acquart	Naissance des pieuvres
Adam	Deliver Us from Evil
Marie-Christine Adam	Hors de prix
Amy Adams	American Hustle
Amy Adams	Arrival
Amy Adams	Batman v Superman: Dawn of Justice
Amy Adams	Big Eyes
Amy Adams	Charlie Wilson's War
Amy Adams	Dear Evan Hansen
Amy Adams	Disenchanted
Amy Adams	Doubt
Amy Adams	Enchanted
Amy Adams	Her
Amy Adams	Hillbilly Elegy
Amy Adams	Julie & Julia
Amy Adams	Leap Year
Amy Adams	Man of Steel
Amy Adams	Miss Pettigrew Lives for a Day
Amy Adams	Night at the Museum: Battle of the Smithsonian
Amy Adams	Nocturnal Animals
Amy Adams	On the Road
Amy Adams	Sunshine Cleaning
Amy Adams	The Fighter
Amy Adams	The Master
Amy Adams	The Muppets
Amy Adams	The Wedding Date
Amy Adams	The Woman in the Window
Amy Adams	Trouble with the Curve
Amy Adams	Underdog
Amy Adams	Vice
Amy Adams	Zack Snyder's Justice League
Brandon Quintin Adams	The People Under the Stairs
Brooke Adams	Days of Heaven
Brooke Adams	Invasion of the Body Snatchers
Brooke Adams	The Dead Zone
CJ Adams	The Odd Life of Timothy Green
Carly Adams	Emelie
Catlin Adams	The Jerk
Charles Adams	Waiting for 'Superman'
Edie Adams	Up in Smoke
Evan Adams	Smoke Signals
Imran Adams	Jeepers Creepers: Reborn
Jack Adams	The Gold Rush
Jane Adams	Happiness
Jay Adams	Dogtown and Z-Boys
Jeb Stuart Adams	Flowers in the Attic
Joey Lauren Adams	Big Daddy
Joey Lauren Adams	Chasing Amy
Joey Lauren Adams	Jay and Silent Bob Reboot
Joey Lauren Adams	The Break-Up
Julian Adams	Phantom
Julie Adams	Creature from the Black Lagoon
Kelly Adams	Bronson
Kimberly Deauna Adams	Bulworth
Lillian Adams	The Sweetest Thing
Maud Adams	Octopussy
Maud Adams	Rollerball
Maud Adams	The Man with the Golden Gun
Patrick J. Adams	Extreme Movie
Randall Adams	The Thin Blue Line
Shea Adams	Australia
Will Adamsdale	Four Lions
Christopher Adamson	Les Misérables
Christopher Adamson	The Count of Monte Cristo
Cynthia Addai-Robinson	The People We Hate at the Wedding
Mark Addy	A Knight's Tale
Mark Addy	Jack Frost
Mark Addy	The Flintstones in Viva Rock Vegas
Mark Addy	The Full Monty
Mark Addy	The Order
Mark Addy	The Time Machine
Wesley Addy	What Ever Happened to Baby Jane?
